"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Middlesbrough","E06000002","Upper tier local authority","2020-04-14",4,325
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-14",13,638
"Newham","E09000025","Upper tier local authority","2020-04-14",10,807
"Norfolk","E10000020","Upper tier local authority","2020-04-14",5,786
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-14",2,86
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-14",6,142
"North Tyneside","E08000022","Upper tier local authority","2020-04-14",6,339
"North Yorkshire","E10000023","Upper tier local authority","2020-04-14",6,536
"Northamptonshire","E10000021","Upper tier local authority","2020-04-14",12,784
"Northumberland","E06000057","Upper tier local authority","2020-04-14",15,502
"Nottingham","E06000018","Upper tier local authority","2020-04-14",7,339
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-14",32,753
"Oldham","E08000004","Upper tier local authority","2020-04-14",1,378
"Oxfordshire","E10000025","Upper tier local authority","2020-04-14",7,1015
"Plymouth","E06000026","Upper tier local authority","2020-04-14",12,173
"Portsmouth","E06000044","Upper tier local authority","2020-04-14",8,200
"Reading","E06000038","Upper tier local authority","2020-04-14",1,246
"Redbridge","E09000026","Upper tier local authority","2020-04-14",7,548
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-14",1,195
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-14",1,297
"Rotherham","E08000018","Upper tier local authority","2020-04-14",13,405
"Salford","E08000006","Upper tier local authority","2020-04-14",1,379
"Sandwell","E08000028","Upper tier local authority","2020-04-14",3,623
"Sefton","E08000014","Upper tier local authority","2020-04-14",16,560
"Sheffield","E08000019","Upper tier local authority","2020-04-14",27,1395
"Shropshire","E06000051","Upper tier local authority","2020-04-14",10,287
"Slough","E06000039","Upper tier local authority","2020-04-14",1,262
"Somerset","E10000027","Upper tier local authority","2020-04-14",3,248
"South Tyneside","E08000023","Upper tier local authority","2020-04-14",1,251
"Southampton","E06000045","Upper tier local authority","2020-04-14",16,298
"Southwark","E09000028","Upper tier local authority","2020-04-14",10,1001
"St. Helens","E08000013","Upper tier local authority","2020-04-14",9,406
"Staffordshire","E10000028","Upper tier local authority","2020-04-14",24,1045
"Stockport","E08000007","Upper tier local authority","2020-04-14",1,543
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-14",2,217
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-14",12,237
"Sunderland","E08000024","Upper tier local authority","2020-04-14",1,729
"Surrey","E10000030","Upper tier local authority","2020-04-14",14,1739
"Sutton","E09000029","Upper tier local authority","2020-04-14",3,500
"Tameside","E08000008","Upper tier local authority","2020-04-14",2,320
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-14",3,143
"Thurrock","E06000034","Upper tier local authority","2020-04-14",1,207
"Torbay","E06000027","Upper tier local authority","2020-04-14",3,107
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-14",6,516
"Wakefield","E08000036","Upper tier local authority","2020-04-14",2,344
"Walsall","E08000030","Upper tier local authority","2020-04-14",3,609
"Waltham Forest","E09000031","Upper tier local authority","2020-04-14",8,583
"Wandsworth","E09000032","Upper tier local authority","2020-04-14",1,766
"Warrington","E06000007","Upper tier local authority","2020-04-14",2,372
"Warwickshire","E10000031","Upper tier local authority","2020-04-14",2,742
"West Berkshire","E06000037","Upper tier local authority","2020-04-14",1,184
"West Sussex","E10000032","Upper tier local authority","2020-04-14",5,679
"Westminster","E09000033","Upper tier local authority","2020-04-14",5,510
"Wigan","E08000010","Upper tier local authority","2020-04-14",3,354
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-14",1,163
"Wirral","E08000015","Upper tier local authority","2020-04-14",2,623
"Wolverhampton","E08000031","Upper tier local authority","2020-04-14",5,501
"Worcestershire","E10000034","Upper tier local authority","2020-04-14",1,718
"York","E06000014","Upper tier local authority","2020-04-14",7,153
"England","E92000001","Country","2020-04-13",2495,78444
"West Midlands","E12000005","Region","2020-04-13",251,8260
"East of England","E12000006","Region","2020-04-13",149,6480
"North West","E12000002","Region","2020-04-13",454,11985
"East Midlands","E12000004","Region","2020-04-13",113,4519
"South West","E12000009","Region","2020-04-13",154,3856
"London","E12000007","Region","2020-04-13",443,19330
"Yorkshire and The Humber","E12000003","Region","2020-04-13",180,5755
"North East","E12000001","Region","2020-04-13",200,4634
"South East","E12000008","Region","2020-04-13",442,10764
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-13",12,345
"Barnet","E09000003","Upper tier local authority","2020-04-13",16,994
"Barnsley","E08000016","Upper tier local authority","2020-04-13",19,396
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-13",2,139
"Bedford","E06000055","Upper tier local authority","2020-04-13",2,243
"Bexley","E09000004","Upper tier local authority","2020-04-13",9,446
"Birmingham","E08000025","Upper tier local authority","2020-04-13",35,1978
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-13",10,187
"Blackpool","E06000009","Upper tier local authority","2020-04-13",14,188
"Bolton","E08000001","Upper tier local authority","2020-04-13",16,443
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-13",10,259
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-13",11,138
"Bradford","E08000032","Upper tier local authority","2020-04-13",6,457
"Brent","E09000005","Upper tier local authority","2020-04-13",19,1078
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-13",3,233
"Bristol, City of","E06000023","Upper tier local authority","2020-04-13",10,372
"Bromley","E09000006","Upper tier local authority","2020-04-13",26,809
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-13",18,541
"Bury","E08000002","Upper tier local authority","2020-04-13",4,262
"Calderdale","E08000033","Upper tier local authority","2020-04-13",6,156
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-13",10,439
"Camden","E09000007","Upper tier local authority","2020-04-13",11,450
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-13",3,308
"Cheshire East","E06000049","Upper tier local authority","2020-04-13",20,474
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-13",12,473
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-13",21,341
"County Durham","E06000047","Upper tier local authority","2020-04-13",43,760
"Coventry","E08000026","Upper tier local authority","2020-04-13",18,456
"Croydon","E09000008","Upper tier local authority","2020-04-13",20,1047
"Cumbria","E10000006","Upper tier local authority","2020-04-13",39,1324
"Darlington","E06000005","Upper tier local authority","2020-04-13",4,153
"Derby","E06000015","Upper tier local authority","2020-04-13",4,378
"Derbyshire","E10000007","Upper tier local authority","2020-04-13",18,795
"Devon","E10000008","Upper tier local authority","2020-04-13",23,438
"Doncaster","E08000017","Upper tier local authority","2020-04-13",1,236
"Dorset","E06000059","Upper tier local authority","2020-04-13",3,212
"Dudley","E08000027","Upper tier local authority","2020-04-13",14,488
"Ealing","E09000009","Upper tier local authority","2020-04-13",16,797
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-13",17,257
"East Sussex","E10000011","Upper tier local authority","2020-04-13",7,367
"Enfield","E09000010","Upper tier local authority","2020-04-13",8,566
"Essex","E10000012","Upper tier local authority","2020-04-13",21,1644
"Gateshead","E08000037","Upper tier local authority","2020-04-13",16,490
"Gloucestershire","E10000013","Upper tier local authority","2020-04-13",34,764
"Greenwich","E09000011","Upper tier local authority","2020-04-13",11,495
"Hackney","E09000012","Upper tier local authority","2020-04-13",8,517
"Halton","E06000006","Upper tier local authority","2020-04-13",6,219
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-13",8,404
"Hampshire","E10000014","Upper tier local authority","2020-04-13",69,1818
"Haringey","E09000014","Upper tier local authority","2020-04-13",9,425
"Harrow","E09000015","Upper tier local authority","2020-04-13",14,695
"Hartlepool","E06000001","Upper tier local authority","2020-04-13",3,78
"Havering","E09000016","Upper tier local authority","2020-04-13",14,497
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-13",7,124
"Hertfordshire","E10000015","Upper tier local authority","2020-04-13",31,1603
"Hillingdon","E09000017","Upper tier local authority","2020-04-13",16,552
"Hounslow","E09000018","Upper tier local authority","2020-04-13",9,507
"Isle of Wight","E06000046","Upper tier local authority","2020-04-13",1,55
"Islington","E09000019","Upper tier local authority","2020-04-13",4,334
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-13",7,374
"Kent","E10000016","Upper tier local authority","2020-04-13",103,1928
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-13",14,161
"Kingston upon Thames","E09000021","Upper tier local authority","2020-04-13",8,317
"Kirklees","E08000034","Upper tier local authority","2020-04-13",16,361
"Knowsley","E08000011","Upper tier local authority","2020-04-13",16,332
"Lambeth","E09000022","Upper tier local authority","2020-04-13",13,945
"Lancashire","E10000017","Upper tier local authority","2020-04-13",77,1763
"Leeds","E08000035","Upper tier local authority","2020-04-13",24,733
"Leicester","E06000016","Upper tier local authority","2020-04-13",9,419
"Leicestershire","E10000018","Upper tier local authority","2020-04-13",13,571
"Lewisham","E09000023","Upper tier local authority","2020-04-13",17,721
"Lincolnshire","E10000019","Upper tier local authority","2020-04-13",22,519
"Liverpool","E08000012","Upper tier local authority","2020-04-13",37,998
"Manchester","E08000003","Upper tier local authority","2020-04-13",28,744
"Medway","E06000035","Upper tier local authority","2020-04-13",9,420
"Merton","E09000024","Upper tier local authority","2020-04-13",12,525
